AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,AuM(Cr),NAV,turnover_ratio,stocks_in_portfolio,standard_deviation,beta,sharpe_ratio,52_week_high,52_week_low
PGIM,PGIM India Corporate Bond Direct Plan Growth,Debt,Low to Moderate Risk,4,3.31,6.62,6.69,29418.54,340.349,32.34,54,20.517,1.097,0.77,8/21/2010,1/31/2007
Axis,Axis Gilt Fund Direct Plan Growth,Debt,Moderate Risk,4,2.67,6.61,6.86,23406.25,323.309,64.98,56,20.079,0.682,1.01,6/16/2021,7/17/2007
Nippon,Nippon India Corporate Bond Fund Direct Growth,Debt,Moderate Risk,5,3.88,6.59,6.94,34707.69,157.741,55.09,54,20.396,0.86,0.79,6/12/2008,1/17/2010
Kotak,Kotak Gilt Investment PF & Trust Direct Growth,Debt,Low to Moderate Risk,3,2.24,6.59,7.0,37579.4,246.925,27.02,30,20.866,0.9420000000000001,1.05,6/11/2017,3/3/2018
IIFL,IIFL Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,4,3.82,6.58,6.52,13571.33,329.664,25.94,29,21.438000000000002,1.175,0.83,12/2/2008,11/1/2014
Aditya,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Growth,Debt,Moderate Risk,3,3.27,6.58,7.03,15971.93,99.26799999999999,71.26,65,20.563000000000002,0.9520000000000001,1.29,3/17/2019,12/25/2019
Sundaram,Sundaram Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,4,2.81,6.56,6.72,30945.03,54.17,52.7,34,21.855999999999998,1.146,1.06,10/7/2013,12/29/2014
ICICI,ICICI Prudential Debt Management Fund (FOF) Direct Plan Growth,Other,Moderate Risk,4,3.31,6.54,6.85,10271.42,108.54700000000001,14.33,34,21.954,0.8690000000000001,1.24,5/1/2017,4/25/2013
Kotak,Kotak Bond Short Term Fund Direct Growth,Debt,Low to Moderate Risk,4,3.09,6.52,7.07,2916.86,219.13299999999998,79.1,30,20.104,1.089,0.66,9/12/2018,7/29/2022
IDBI,IDBI Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,5,4.55,6.51,5.91,15669.2,276.392,62.97,56,21.531999999999996,1.002,0.93,8/8/2020,2/26/2017
SBI,SBI Magnum Gilt Fund Direct Growth,Debt,Low to Moderate Risk,5,3.09,6.51,7.01,12976.83,235.234,75.22,49,18.366,0.9209999999999999,1.06,6/25/2010,9/23/2008
IDFC,IDFC Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,5,2.89,6.51,7.37,17684.74,326.593,17.19,26,21.74,1.002,0.62,9/27/2016,12/6/2010
Kotak,Kotak Bond Fund Direct Growth,Debt,Moderate Risk,4,2.29,6.5,6.61,35259.77,85.708,90.64,25,21.090999999999998,0.9570000000000001,0.88,1/5/2016,11/1/2007
IDFC,IDFC Government Securities Investment Plan Direct Growth,Debt,Moderate Risk,4,1.5,6.45,7.29,38507.02,268.288,27.09,19,22.408,0.815,0.92,9/14/2013,9/26/2008
IDFC,IDFC Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,2,2.04,6.42,6.65,11239.67,274.13,72.48,19,20.445,0.8759999999999999,0.63,12/27/2019,4/27/2013
UTI,UTI Bond Fund Direct Growth,Debt,Moderate Risk,5,17.31,6.41,3.56,34948.59,324.577,66.38,50,17.927,1.036,0.83,8/28/2006,7/17/2022
PGIM,PGIM India Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,4,3.12,6.39,6.98,5511.2,299.923,57.03,41,20.343,0.875,1.06,10/29/2011,4/11/2017
IDBI,IDBI Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3,3.51,6.37,5.63,18719.16,185.976,86.16,38,22.592,1.112,1.04,8/10/2013,10/16/2017
HDFC,HDFC Floating Rate Debt Fund Direct Plan Growth,Debt,Moderate Risk,2,3.8,6.36,6.88,31491.73,255.643,50.88,29,22.67,0.852,1.01,5/24/2022,5/24/2016
Aditya,Aditya Birla Sun Life Government Securities Fund Direct Plan Growth,Debt,Moderate Risk,4,2.08,6.35,6.83,33278.72,331.795,88.01,65,18.593,0.701,1.28,6/20/2006,4/11/2007
HSBC,HSBC Global Emerging Markets Direct Plan Growth,Other,Very High Risk,3,-19.39,6.35,4.84,10929.4,335.798,99.15,59,19.477,1.035,1.16,11/3/2016,7/31/2010
DSP,DSP World Energy Fund Direct Plan Growth,Other,Very High Risk,3,-8.45,6.31,5.23,6050.87,274.631,84.23,65,18.06,0.958,1.13,3/5/2010,11/11/2011
HSBC,HSBC Managed Solutions India Conservative Fund Direct Growth,Other,Moderate Risk,2,1.74,6.29,5.54,34325.22,77.94800000000001,65.6,60,18.762,0.6990000000000001,0.76,5/28/2016,6/5/2013
Kotak,Kotak Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,4,3.33,6.28,7.11,999.89,294.835,5.93,65,18.405,0.9329999999999999,1.15,5/24/2012,8/17/2012
Tata,Tata Short Term Bond Direct Plan Growth,Debt,Low to Moderate Risk,3,2.99,6.27,5.54,8940.75,114.61,67.14,57,19.491,1.065,1.07,4/13/2021,5/12/2015
IDFC,IDFC All Seasons Bond Fund Direct Growth,Other,Moderate Risk,3,2.61,6.26,6.78,19541.1,163.599,86.65,42,19.239,0.8370000000000001,0.79,10/23/2009,8/26/2006
DSP,DSP Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,3,2.63,6.24,6.72,24662.71,323.682,39.88,20,18.945999999999998,1.045,0.63,9/5/2007,4/14/2019
SBI,SBI Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3,2.77,6.23,22.1,28963.31,160.619,80.35,34,20.256,0.975,0.87,1/24/2019,4/26/2020
Axis,Axis Banking & PSU Debt Direct Plan Growth,Debt,Low to Moderate Risk,5,3.45,6.21,7.31,37276.26,257.33099999999996,12.62,62,22.506,1.1079999999999999,0.51,5/10/2022,7/20/2020
Aditya,Aditya Birla Sun Life Low Duration Fund Direct Growth,Debt,Moderate Risk,5,4.33,6.19,6.98,16959.95,277.494,43.69,34,22.449,0.968,0.72,9/14/2015,7/28/2014
Franklin,Franklin India Corporate Debt Fund Direct Growth,Debt,Low to Moderate Risk,3,3.05,6.18,7.06,7871.25,119.189,84.74,25,18.381,0.9620000000000001,0.62,5/12/2020,4/3/2019
Kotak,Kotak Low Duration Fund Direct Growth,Debt,Moderate Risk,4,3.83,6.17,6.98,5781.84,233.22400000000002,83.69,26,18.595,0.7070000000000001,0.81,3/22/2019,8/24/2006
Aditya,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Growth,Other,Moderate Risk,2,2.58,6.17,6.15,32971.0,176.612,13.15,48,20.612,0.9490000000000001,1.26,4/8/2018,6/19/2012
Invesco,Invesco India Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3,2.37,6.15,5.9,3661.36,88.33200000000001,43.34,47,20.791,0.828,1.0,3/2/2020,3/3/2012
ICICI,ICICI Prudential Constant Maturity Gilt Fund Direct Growth,Debt,Moderate Risk,1,0.69,6.15,7.5,26894.57,195.118,0.31,43,21.958000000000002,1.109,0.82,9/24/2016,2/6/2014
Nippon,Nippon India Low Duration Fund Direct Growth,Debt,Moderate Risk,4,4.19,6.15,6.51,11295.41,69.694,18.13,15,19.652,0.762,0.63,8/20/2016,9/27/2011
