AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,AuM(Cr),NAV,turnover_ratio,stocks_in_portfolio,standard_deviation,beta,sharpe_ratio,52_week_high,52_week_low
PGIM,PGIM India Arbitrage Fund Direct Growth,Hybrid,Low Risk,2,3.87,4.4,5.18,8133.22,195.51,81.29,46,20.997,0.8320000000000001,0.86,9/13/2012,5/10/2021
DSP,DSP Arbitrage Fund Direct Growth,Hybrid,Low Risk,3,3.8,4.38,16.81,20991.63,127.639,4.18,65,18.662,0.8440000000000001,0.65,5/26/2010,10/31/2006
WhiteOak,WhiteOak Capital Ultra Short Term Fund Direct Growth,Debt,Moderately Low Risk,2,4.43,4.37,11.95,36860.48,309.069,61.94,62,20.297,1.0390000000000001,1.03,3/27/2011,5/4/2010
HDFC,HDFC Arbitrage Fund Wholesale Direct Growth,Hybrid,Low Risk,2,3.87,4.33,5.14,36787.97,311.601,57.86,31,20.436,0.887,0.86,2/23/2016,1/21/2006
Canara,Canara Robeco Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,2,3.62,4.31,5.35,22905.34,138.725,65.61,43,19.964000000000002,1.179,0.54,2/12/2019,7/27/2015
SBI,SBI Arbitrage Opportunities Fund Direct Growth,Hybrid,Low Risk,2,4.47,4.3,5.34,23275.63,219.05700000000002,31.68,25,19.467,0.728,0.96,12/7/2018,11/18/2014
IDBI,IDBI Credit Risk Fund Direct Growth,Debt,Moderately High Risk,2,14.15,4.28,3.69,7820.63,204.075,49.67,33,21.93,1.064,1.12,6/1/2009,8/30/2007
LIC,LIC MF Arbitrage Fund Direct Growth,Hybrid,Low Risk,2,4.22,4.27,41.62,38877.52,211.571,15.92,56,19.082,0.7490000000000001,1.25,1/16/2011,12/28/2017
IDBI,IDBI Liquid Fund Direct Growth,Debt,Moderate Risk,4,4.03,4.25,5.46,28739.35,77.597,14.3,27,22.338,1.047,1.28,5/31/2012,11/9/2009
HSBC,HSBC Low Duration Fund Direct Growth,Debt,Low to Moderate Risk,1,3.48,4.22,3.55,18249.14,99.60600000000001,23.28,66,18.577,0.8809999999999999,0.83,3/22/2012,4/22/2010
Taurus,Taurus Short Term Income Fund Direct Growth,Debt,Moderately Low Risk,1,9.35,4.21,6.49,11766.32,246.101,9.14,28,20.855999999999998,1.07,1.1,8/24/2015,1/8/2020
Mahindra,Mahindra Manulife Liquid Fund Direct Growth,Debt,Low to Moderate Risk,5,4.06,4.2,5.44,4870.02,241.685,80.54,19,20.82,0.773,0.84,8/3/2019,8/11/2009
Edelweiss,Edelweiss Liquid Direct Growth,Debt,Low to Moderate Risk,4,3.99,4.19,5.43,33837.27,313.503,30.37,33,22.035,1.122,0.94,3/30/2014,11/10/2017
Franklin,Franklin India Liquid Fund Direct Growth,Debt,Low to Moderate Risk,3,4.0,4.19,5.44,17153.2,215.60299999999998,14.87,64,21.618000000000002,1.15,0.69,2/16/2021,9/19/2009
LIC,LIC MF Liquid Fund Direct Growth,Debt,Low to Moderate Risk,4,3.97,4.16,5.37,2537.61,96.919,68.42,21,19.382,1.0979999999999999,0.75,9/4/2014,8/19/2020
Aditya,Aditya Birla Sun Life Liquid Fund Direct Growth,Debt,Moderate Risk,4,4.03,4.16,5.41,18101.07,190.207,77.07,38,22.343000000000004,0.9209999999999999,1.25,10/18/2014,6/25/2013
PGIM,PGIM India Liquid Fund Direct Plan Growth,Debt,Low to Moderate Risk,4,4.0,4.16,5.4,27848.7,271.759,70.41,19,22.11,0.695,0.83,7/5/2010,8/16/2014
Baroda,Baroda BNP Paribas Liquid Direct Fund Growth,Debt,Low to Moderate Risk,5,4.07,4.14,5.39,19364.04,142.082,50.74,47,18.059,0.9790000000000001,0.78,4/23/2009,3/25/2013
Nippon,Nippon India Liquid Fund Direct Growth,Debt,Low to Moderate Risk,3,4.01,4.14,5.4,15442.62,286.777,53.54,17,20.631,0.757,1.32,3/2/2010,3/17/2015
Tata,Tata Liquid Fund Direct Growth,Debt,Low to Moderate Risk,3,3.98,4.14,5.37,7503.68,194.729,56.72,57,19.242,0.706,0.58,8/12/2020,11/26/2018
Union,Union Liquid Fund Direct Growth,Debt,Low to Moderate Risk,4,4.02,4.14,4.59,14047.4,112.713,61.88,45,18.018,1.071,0.7,7/21/2011,3/22/2021
Axis,Axis Liquid Direct Fund Growth,Debt,Low to Moderate Risk,3,4.02,4.13,5.38,7996.1,215.46599999999998,47.72,35,18.684,1.1159999999999999,1.28,4/27/2008,9/24/2021
Mirae,Mirae Asset Cash Management Fund Direct Growth,Debt,Low to Moderate Risk,4,4.02,4.13,5.36,885.9,166.674,90.9,16,22.456999999999997,1.032,1.25,11/14/2011,2/23/2014
ICICI,ICICI Prudential Liquid Fund Direct Plan Growth,Debt,Moderate Risk,3,3.96,4.12,5.36,31639.11,167.997,32.89,46,18.976,0.763,1.28,2/14/2021,3/18/2016
UTI,UTI Liquid Cash Direct Growth,Debt,Low to Moderate Risk,3,4.02,4.11,5.36,26695.13,28.935,54.95,15,21.42,0.8109999999999999,0.78,10/21/2016,6/13/2016
Sundaram,Sundaram Liquid Direct Growth,Debt,Moderate Risk,4,4.03,4.11,5.16,15940.55,299.343,42.53,44,20.051,0.848,0.92,5/29/2014,5/7/2021
Sundaram,Sundaram Medium Term Bond Fund Direct Growth,Debt,Moderate Risk,2,0.94,4.1,5.12,14240.36,107.475,42.02,50,20.275,1.092,0.99,2/10/2008,2/2/2017
Invesco,Invesco India Gilt Fund Direct Growth,Debt,Low to Moderate Risk,1,1.82,4.09,5.15,928.24,99.56,82.81,17,18.389,1.035,0.86,8/23/2017,6/19/2006
PGIM,PGIM India Credit Risk Fund Direct Growth,Debt,Low to Moderate Risk,2,9.6,4.08,5.31,19782.05,254.155,73.17,40,20.875,0.7240000000000001,1.31,1/9/2018,3/13/2021
SBI,SBI Liquid Fund Direct Plan Growth,Debt,Low to Moderate Risk,3,3.98,4.08,5.3,29140.89,46.36,81.74,52,20.293,0.7140000000000001,0.7,3/30/2007,5/22/2019
DSP,DSP Liquidity Direct Growth,Debt,Low to Moderate Risk,3,4.01,4.08,5.33,24585.71,82.449,28.86,18,20.866,0.7340000000000001,0.55,3/10/2016,6/25/2022
L&T,L&T Liquid Plan Direct Growth,Debt,Low to Moderate Risk,2,3.98,4.07,5.31,20732.88,231.718,10.08,54,18.805999999999997,0.9540000000000001,0.67,10/16/2021,1/10/2010
HSBC,HSBC Cash Fund Direct Growth,Debt,Low to Moderate Risk,3,4.01,4.06,5.34,6827.65,120.895,52.67,45,19.227,1.179,0.62,8/13/2020,12/24/2020
Bank,Bank of India Liquid Fund Direct Growth,Debt,Low to Moderate Risk,3,4.07,4.06,5.32,36212.79,218.345,87.62,44,21.143,0.831,0.51,6/21/2021,2/22/2015
Kotak,Kotak Liquid Direct Growth,Debt,Low to Moderate Risk,3,3.97,4.05,5.28,18627.6,50.81100000000001,47.56,48,20.445,0.884,0.89,11/21/2013,4/23/2020
JM,JM Liquid Fund Direct Growth,Debt,Low to Moderate Risk,4,4.03,4.04,5.32,27357.55,238.31400000000002,33.21,59,18.323,0.96,1.07,11/4/2006,11/2/2014
HDFC,HDFC Liquid Direct Plan Growth,Debt,Low to Moderate Risk,2,3.97,4.04,5.27,32833.24,107.524,60.13,50,18.944000000000003,0.73,1.14,2/6/2017,3/18/2017
Invesco,Invesco India Liquid Fund Direct Growth,Debt,Low to Moderate Risk,2,3.98,4.03,5.29,37725.53,234.583,55.74,44,21.397,0.8320000000000001,0.76,9/21/2011,8/20/2009
Baroda,Baroda BNP Paribas Money Market Fund Direct Growth,Debt,Low Risk,1,3.72,4.02,-9.93,39207.59,36.491,26.43,56,22.051,0.7140000000000001,0.83,1/26/2020,10/12/2019
IDFC,IDFC Cash Direct Plan Growth,Debt,Low to Moderate Risk,2,3.98,3.99,5.23,21790.16,146.82,60.56,41,22.71,0.804,1.18,10/31/2015,10/31/2019
Navi,Navi Liquid Fund Super Institutional Plan Direct Growth,Debt,Moderate Risk,5,4.42,3.97,5.25,5815.39,139.22799999999998,90.46,19,18.839000000000002,1.037,0.56,3/30/2017,12/30/2008
Navi,Navi Ultra Short Term Fund Super Institutional Plan Direct Growth,Debt,Low to Moderate Risk,1,3.0,3.97,5.28,32016.93,285.006,42.57,60,18.621,1.043,0.8,1/21/2014,10/5/2010
Indiabulls,Indiabulls Liquid Direct Fund Growth,Debt,Low to Moderate Risk,2,3.73,3.9,5.21,19676.23,108.27,34.51,47,22.095,0.94,0.95,4/17/2020,2/7/2022
Nippon,Nippon India Credit Risk Fund Direct Growth,Debt,High Risk,2,4.57,3.84,4.35,13182.57,29.81,19.29,44,21.02,1.14,0.55,11/17/2006,5/10/2007
Canara,Canara Robeco Liquid Direct Plan Growth,Debt,Low to Moderate Risk,2,3.94,3.84,5.12,6903.93,302.60400000000004,50.43,42,19.602999999999998,1.016,1.07,2/13/2009,9/5/2012
Parag,Parag Parikh Liquid Fund Direct Growth,Debt,Low to Moderate Risk,2,3.8,3.78,43.32,785.96,144.648,49.79,25,20.041,1.165,1.07,9/29/2021,8/17/2017
Quantum,Quantum Liquid Fund Direct Growth,Debt,Low to Moderate Risk,2,3.81,3.76,4.83,9959.27,333.233,60.58,45,20.622,0.816,1.28,5/31/2021,11/3/2008
PGIM,PGIM India Overnight Fund Direct Growth,Debt,Low Risk,4,3.88,3.75,27.78,35752.62,219.085,10.59,56,18.721,1.1740000000000002,0.77,9/13/2008,11/2/2006
DSP,DSP Overnight Fund Direct Growth,Debt,Low Risk,3,3.87,3.72,7.01,23991.12,112.69,66.3,62,18.892,0.835,0.8,10/30/2020,4/26/2009
HSBC,HSBC Overnight Fund Direct Growth,Debt,Low Risk,5,3.9,3.71,30.7,31029.93,349.584,50.5,20,18.812,0.9670000000000001,0.62,1/30/2020,8/21/2020
WhiteOak,WhiteOak Capital Liquid Fund Direct Growth,Debt,Low Risk,1,3.6,3.71,22.81,11092.32,104.094,15.97,42,21.038,0.956,0.71,3/14/2014,2/22/2009
Edelweiss,Edelweiss Overnight Fund Direct Growth,Debt,Low Risk,2,3.78,3.71,48.96,38721.55,236.5,57.87,15,20.462,0.8809999999999999,1.12,12/16/2020,10/2/2007
Principal,Principal Retirement Savings Fund Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,2,6.05,3.7,6.09,35920.82,332.401,87.09,65,20.177,1.166,0.65,10/2/2006,8/3/2009
Axis,Axis Overnight Fund Direct Growth,Debt,Low Risk,4,3.89,3.68,17.91,5543.58,261.473,26.69,50,21.765,0.907,1.19,1/24/2019,9/26/2009
LIC,LIC MF Overnight Fund Direct Growth,Debt,Low Risk,4,3.89,3.68,16.97,2622.9,21.416999999999998,1.76,32,21.396,1.047,1.16,5/25/2009,11/29/2010
Nippon,Nippon India Overnight Fund Direct Growth,Debt,Low Risk,3,3.88,3.68,11.16,39743.66,322.085,10.14,40,21.866,1.087,0.75,4/8/2015,11/17/2010
Baroda,Baroda BNP Paribas Overnight Fund Direct Growth,Debt,Low Risk,4,3.85,3.68,44.5,7127.25,76.842,23.64,29,19.419,0.853,0.85,12/1/2014,6/2/2008
Aditya,Aditya Birla Sun Life Overnight Fund Direct Growth,Debt,Low Risk,4,3.86,3.67,50.26,14287.13,267.71,3.1,60,18.764,0.775,1.05,11/22/2009,7/6/2018
Mahindra,Mahindra Manulife Overnight Fund Direct Growth,Debt,Low Risk,4,3.89,3.67,-6.7,13402.87,273.133,74.26,27,18.658,1.003,1.16,11/23/2019,9/4/2011
Canara,Canara Robeco Overnight Fund Direct Growth,Debt,Low Risk,2,3.84,3.67,33.37,685.25,48.066,36.44,63,19.514,0.723,0.91,4/15/2016,3/16/2007
UTI,UTI Overnight Fund Direct Growth,Debt,Low Risk,3,3.86,3.67,4.42,37701.36,274.733,70.08,50,19.317,0.736,0.9,7/8/2015,1/9/2017
JM,JM Short Term Plan Direct Growth,Debt,Moderate Risk,2,4.45,3.67,5.61,31823.14,274.70099999999996,8.88,62,17.933,1.137,1.07,3/23/2019,11/28/2006
L&T,L&T Overnight Fund Direct Growth,Debt,Low Risk,3,3.84,3.66,4.68,20602.84,220.498,87.87,64,20.980999999999998,1.056,1.18,2/18/2010,5/21/2021
Tata,Tata Overnight Fund Direct Growth,Debt,Low Risk,3,3.85,3.66,44.55,364.18,105.98100000000001,45.37,28,19.375,1.09,1.25,7/13/2016,2/14/2011
Sundaram,Sundaram Overnight Fund Direct Growth,Debt,Low Risk,2,3.82,3.66,6.28,5264.28,117.01899999999999,5.32,63,18.675,0.899,0.76,1/4/2014,11/20/2016
ICICI,ICICI Prudential Overnight Fund Direct Growth,Debt,Low Risk,3,3.84,3.64,11.17,11124.8,102.64,9.25,18,21.927,1.179,0.81,11/22/2017,1/14/2014
SBI,SBI Overnight Fund Direct Growth,Debt,Low Risk,3,3.83,3.64,4.62,23954.6,130.311,73.25,21,22.761999999999997,0.767,0.58,4/21/2014,10/31/2012
