AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,AuM(Cr),NAV,turnover_ratio,stocks_in_portfolio,standard_deviation,beta,sharpe_ratio,52_week_high,52_week_low
Quant,Quant Small Cap Fund Direct Plan Growth,Equity,Very High Risk,4,9.98,54.37,22.73,15372.78,187.082,38.25,52,20.737,1.121,1.15,11/2/2015,11/5/2013
Canara,Canara Robeco Small Cap Fund Direct Growth,Equity,Very High Risk,5,20.09,44.48,26.64,35286.28,347.856,32.52,37,18.423,0.7709999999999999,0.77,3/20/2019,9/30/2020
PGIM,PGIM India Midcap Opportunities Fund Direct Growth,Equity,Very High Risk,5,11.02,44.22,21.49,8787.13,141.45,11.21,30,19.07,1.032,0.72,12/3/2017,3/24/2014
Bank,Bank of India Small Cap Fund Direct Growth,Equity,Very High Risk,5,13.16,44.13,29.75,5586.78,150.539,18.54,57,19.037,1.043,0.88,7/24/2014,8/3/2011
Quant,Quant Tax Plan Direct Growth,Equity,Very High Risk,5,17.43,43.88,23.76,36404.26,210.548,93.46,19,22.467,0.7240000000000001,0.62,10/14/2013,5/2/2011
Quant,Quant Infrastructure Fund Direct Growth,Equity,Very High Risk,5,25.78,43.74,23.91,34243.18,22.375999999999998,49.39,36,20.351,1.138,1.24,7/14/2017,10/16/2015
Quant,Quant Mid Cap Fund Direct Growth,Equity,Very High Risk,5,20.43,40.2,22.03,29874.86,341.191,37.04,44,20.465,1.036,1.03,6/1/2018,6/30/2017
Quant,Quant Flexi Cap Fund Direct Growth,Equity,Very High Risk,1,8.31,39.82,19.71,20413.53,146.518,71.42,49,20.909000000000002,0.802,1.3,2/18/2008,6/29/2019
Quant,Quant Active Fund Direct Growth,Equity,Very High Risk,2,12.41,39.22,23.4,6987.18,77.447,61.25,62,20.78,1.024,1.12,6/9/2018,9/19/2009
Kotak,Kotak Small Cap Fund Direct Growth,Equity,Very High Risk,4,10.06,39.13,19.66,9269.06,177.408,72.28,20,20.516,1.15,0.56,7/10/2018,8/26/2015
