AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,AuM(Cr),NAV,turnover_ratio,stocks_in_portfolio,standard_deviation,beta,sharpe_ratio,52_week_high,52_week_low
Invesco,Invesco India Financial Services Fund Direct Growth,Equity,Very High Risk,4,0.5,14.69,10.5,279.06,277.194,30.87,57,20.678,1.0270000000000001,1.07,3/9/2011,8/2/2013
Baroda,Baroda Large Cap Direct Fund Growth,Equity,Very High Risk,2,6.97,14.64,11.35,33931.52,316.363,41.24,48,21.054000000000002,0.767,1.26,7/2/2013,10/11/2015
Tata,Tata Banking and Financial Services Fund Direct Growth,Equity,Very High Risk,4,1.49,14.61,10.2,5682.94,229.525,35.8,61,18.773,0.955,1.18,11/26/2016,3/7/2007
Sundaram,Sundaram Global Brand Direct Growth,Other,Very High Risk,2,17.33,14.49,11.83,8160.37,16.539,19.21,46,21.844,0.7020000000000001,0.76,9/25/2009,12/2/2006
ICICI,ICICI Prudential Balanced Advantage Direct Growth,Hybrid,Moderately High Risk,4,8.85,14.46,11.01,25609.15,35.06,23.63,51,20.995,0.7929999999999999,0.53,7/1/2017,2/19/2020
Aditya,Aditya Birla Sun Life Retirement Fund The 30s Plan Direct Growth,Solution Oriented,Moderately High Risk,1,0.18,14.44,4.23,27873.41,242.313,20.58,25,19.974,1.016,1.1,10/6/2006,10/12/2011
Shriram,Shriram Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,3,2.26,14.41,9.96,9721.91,27.055999999999997,50.8,58,21.84,0.8170000000000001,0.55,12/31/2006,4/13/2006
L&T,L&T Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2,-0.27,14.4,8.7,15433.85,321.546,52.55,39,22.304000000000002,0.992,0.95,3/6/2006,11/13/2016
Taurus,Taurus Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,4,4.98,14.39,11.18,1437.37,212.96599999999998,53.34,37,18.188,0.85,1.27,6/30/2007,4/6/2008
Mahindra,Mahindra Manulife Equity Savings Dhan Sanchay Yojana Direct Growth,Hybrid,Moderately High Risk,4,4.6,14.31,9.69,1627.79,104.385,27.09,60,19.274,0.953,1.31,4/15/2007,1/13/2020
IDBI,IDBI Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2,2.39,14.31,7.81,21073.65,86.49799999999999,39.96,48,20.25,1.123,1.21,1/31/2018,3/20/2016
ICICI,ICICI Prudential US Bluechip Equity Direct Plan Growth,Equity,Very High Risk,4,-7.24,14.27,15.92,8638.4,43.42100000000001,1.76,38,19.552,0.882,0.86,5/19/2006,7/3/2021
Navi,Navi Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3,3.96,14.19,54.52,2206.9,224.505,62.38,59,18.934,1.101,0.54,8/26/2018,4/13/2013
